id,prefix_id,supplier_id,group_line_id,group_line_name,status_id,created_on,created_by,updated_on,updated_by,transfer_switch
171,8,6,10171,ITC,1,NULL,NULL,2020-04-27 13:20:34.000,1,NULL
170,8,82,10170,ISSEY MIYAKE,1,NULL,NULL,2021-04-29 11:36:16.000,1,0
169,8,80,10169,INITIO,1,NULL,NULL,2021-04-29 11:35:56.000,1,0
168,8,NULL,10168,INES DE LA FRESSANGE,1,NULL,NULL,NULL,NULL,NULL
167,8,NULL,10167,INCOMO,1,NULL,NULL,NULL,NULL,NULL
166,8,NULL,10166,HYSON,1,NULL,NULL,NULL,NULL,NULL
165,8,26,10165,HUGO BOSS,1,NULL,NULL,2020-10-13 15:28:01.000,1,NULL
164,8,39,10164,HOUSE OF SILLAGE,1,NULL,NULL,2020-10-13 15:27:35.000,1,NULL
163,8,109,10163,HORSEBALL,1,NULL,NULL,2021-04-29 11:35:29.000,1,0
162,8,NULL,10162,HORIZON,1,NULL,NULL,NULL,NULL,NULL
161,8,43,10161,HONDURENA DE TABACOS,1,NULL,NULL,2020-12-06 16:07:07.000,1,NULL
160,8,NULL,10160,HERVE CHAPILIER,1,NULL,NULL,NULL,NULL,NULL
159,8,26,10159,HERMES,1,NULL,NULL,2020-10-13 15:27:00.000,1,NULL
158,8,NULL,10158,HELLO KITTY,1,NULL,NULL,NULL,NULL,NULL
157,8,NULL,10157,HAUTE COUTURE,1,NULL,NULL,NULL,NULL,NULL
156,8,NULL,10156,HABANOS ,1,NULL,NULL,NULL,NULL,NULL
